"Event_Meta_ID","Event_ID","Created_By","Created_Date","Updated_By","Updated_Date","Fixed_by","Fix_Date","Notes","Protocol_Version"
"7867ED5B-C367-47CA-892F-36F328C2C734","142ED751-7262-4031-995B-E1C1D1473744","{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 10:57:39,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 11:31:17,NA,NA,"Sample date for this plot was 2011 Aug 15, visit date entered incorrectly",NA
"A74D182B-E9AC-47F9-A87F-6A5C26CCE106","18B78C46-6C8A-4E0A-A75B-A31701F90895","{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 11:47:27,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-01-28 13:18:35,NA,NA,"Sarah Knight (SCA intern) also helped on plot.  Utility road cuts through bottom right corner of plot (approx. 3m wide).

Brian Orvis was incorrectly attached to this visit through a GUID managemnt error. Changed back to Sarah Knight - 20190128 CES",NA
"408A1B88-90B6-4553-879A-A184E67B5103","19006575-5DDD-4DB8-BFF9-53BD4DD4FA4C","{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-07-05 09:36:05,NA,2012-07-05 09:36:05,NA,NA,NA,NA
"DC2F938C-FB92-4754-BFDE-8873F4ED6989","1B3E6A0B-BB0B-42C6-B867-13B3B9620E04","{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-07-05 09:36:05,NA,2012-07-05 09:36:05,NA,NA,NA,NA
"0129F33C-9076-4894-A9A9-A344693D3265","1BC7EA6B-3D47-47A2-BA44-92D62800C9A9","{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 16:03:43,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 16:03:46,NA,NA,"Earthmounds/works throughout plot",NA
"618C32C8-3DA0-41DD-B49B-D2772557B17C","1E69B73F-4F5F-4A82-8250-6DE81EE194FD","{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-27 00:00:00,NA,2010-09-27 00:00:00,NA,NA,"Only 2 co-dominate trees therefore only 2 trees for stand height",NA
"7AF7BF7A-0ACF-4D84-B746-52B3957C5DB9","1EABB415-60F8-4529-B553-C609E4C19D20","{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-22 00:00:00,NA,2010-09-22 00:00:00,NA,NA,NA,NA
"D8C722DD-3C44-4DA3-8869-FE71674E84E2","255764D8-F274-4CDC-87CC-7F09C505760E","{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-26 00:00:00,NA,2010-09-26 00:00:00,NA,NA,NA,NA
"C4B7DF96-92C2-4213-BB0C-A3C25BADD380","27E48D67-F43B-43D6-B82C-21F112841B04","{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-07 00:00:00,NA,2010-09-07 00:00:00,NA,NA,NA,NA
"91FE02D3-5A83-42C8-89B1-B02D03C8FE4C","284082A6-3B52-4DF7-A5DE-DC2334F132FE","{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-27 00:00:00,NA,2010-09-27 00:00:00,NA,NA,NA,NA
