"Quadrat_Sampled_ID","Event_ID","A2_Sampled","A5_Sampled","A8_Sampled","AA_Sampled","B2_Sampled","B5_Sampled","B8_Sampled","BB_Sampled","C2_Sampled","C5_Sampled","C8_Sampled","CC_Sampled","UC_Sampled","UL_Sampled","ML_Sampled","BL_Sampled","BC_Sampled","BR_Sampled","MR_Sampled","UR_Sampled","A2_Trampled","A5_Trampled","A8_Trampled","AA_Trampled","B2_Trampled","B5_Trampled","B8_Trampled","BB_Trampled","C2_Trampled","C5_Trampled","C8_Trampled","CC_Trampled","UC_Trampled","UL_Trampled","ML_Trampled","BL_Trampled","BC_Trampled","BR_Trampled","MR_Trampled","UR_Trampled","UP3_Sampled","UP7_Sampled","UP11_Sampled","BR3_Sampled","BR7_Sampled","BR11_Sampled","BL3_Sampled","BL7_Sampled","BL11_Sampled","UP3_Trampled","UP7_Trampled","UP11_Trampled","BR3_Trampled","BR7_Trampled","BR11_Trampled","BL3_Trampled","BL7_Trampled","BL11_Trampled","Created_By","Created_Date","Updated_By","Updated_Date"
"002A5104-BA50-4296-9B2E-E9E7216495C9","224B6F7A-F4D0-41A9-815B-6D6ADE8A8B0E",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2012-07-05 09:47:23,NA,2012-07-05 09:47:23
"002BA5E3-23CD-466F-B402-E8E772CDCEEC","DC68E8F9-0706-4F30-802C-B12D3BBC50D6",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2016-08-18 15:29:27,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2016-08-18 15:29:39
"00497340-2EDA-44DE-989B-491FA19EE828","36D1322C-AD95-42D0-A9AF-C4DA0C1F4B64",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{5A7BD13B-5DD4-4307-8E95-999816FF0DD4}",2014-08-06 15:57:58,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2014-08-07 09:58:46
"0069C4F4-2C5B-49F7-B64A-01F9A081E39B","5BD66BDA-E57F-40BB-BEB3-107040A5459C",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2012-07-05 09:47:23,NA,2012-07-05 09:47:23
"006B9137-90F3-4192-B7AC-BF57BABF0975","379466EF-4915-422E-A40B-EDF5A260C6B1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{2AA4EFF4-A80F-4408-8AF3-E3F11968C2A1}",2017-08-07 17:04:44,"{2AA4EFF4-A80F-4408-8AF3-E3F11968C2A1}",2017-08-07 17:05:05
"007A5963-C45F-4C68-B8DB-9CA6F4AB9860","6E27DDA1-553D-4ECD-9E8E-8350167F94A1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2012-07-05 09:47:23,NA,2012-07-05 09:47:23
"0099B544-7F32-4241-96D7-96D10AB835A9","2072C796-9D78-4CB2-A916-AC627EB5842C",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-08-06 13:08:45,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-08-06 13:08:46
"00CF0D02-EDCD-4C7F-B042-C43758E45193","B39D56D7-A77D-42E4-B22E-52E1DABC6059",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{2AA4EFF4-A80F-4408-8AF3-E3F11968C2A1}",2017-07-31 08:32:42,"{2AA4EFF4-A80F-4408-8AF3-E3F11968C2A1}",2017-07-31 08:34:12
"01602CB6-CF36-4D36-9D14-38CB290817E1","2D725D4C-0AE9-4FF2-B9D5-2A6E5E9F2D0F",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-08-20 12:11:17,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-08-20 12:11:59
"01A7715A-5024-403B-8F74-01E8217DA060","BA68DCD6-712E-4096-BE88-7B85675F8EB6",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2012-03-31 18:16:23,"{0880C00B-EF4A-43FD-9A3A-69C6B18A1D69}",2012-03-31 18:16:25
