"Quadrat_Species_Data_ID","Event_ID","TSN","Confidence","qUC_Cover_Class_ID","qUL_Cover_Class_ID","qML_Cover_Class_ID","qBL_Cover_Class_ID","qBC_Cover_Class_ID","qBR_Cover_Class_ID","qMR_Cover_Class_ID","qUR_Cover_Class_ID","qA2_Cover_Class_ID","qA5_Cover_Class_ID","qA8_Cover_Class_ID","qAA_Cover_Class_ID","qB2_Cover_Class_ID","qB5_Cover_Class_ID","qB8_Cover_Class_ID","qBB_Cover_Class_ID","qC2_Cover_Class_ID","qC5_Cover_Class_ID","qC8_Cover_Class_ID","qCC_Cover_Class_ID","qUP3_Cover_Class_ID","qUP7_Cover_Class_ID","qUP11_Cover_Class_ID","qBR3_Cover_Class_ID","qBR7_Cover_Class_ID","qBR11_Cover_Class_ID","qBL3_Cover_Class_ID","qBL7_Cover_Class_ID","qBL11_Cover_Class_ID","Germinant","Collected","TimeStamp","Notes","Created_By","Created_Date","Updated_By","Updated_Date"
"0001F203-25A3-4CF9-B29A-E42A7259949C","F454B7AE-71FB-4CE7-8F69-1CEDEA85B433",35283,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2015-08-10 17:06:06,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-08-10 17:06:06,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-08-10 17:09:19
"00187CC5-2509-447B-80FD-5AA22F174AFA","8C03DB9E-5017-48E7-83EC-99592C3A3C3F",503655,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1900-12-03 00:00:00,NA,NA,2012-07-05 09:58:56,NA,2012-07-05 09:58:56
"001FD442-CED1-4906-B0CA-0FEBC1145161","FD2DF618-32B9-47F4-9BA2-72786DA365AD",43342,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2017-08-23 11:19:31,NA,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-08-23 11:19:31,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-08-23 11:33:26
"002153A1-C297-4D2A-B1A1-3B931EC522D6","303839AB-64AD-4C11-9F66-23D647139C56",25017,1,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2014-07-22 10:18:23,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2014-07-22 10:18:23,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2014-07-22 11:57:09
"0024CB3A-A7CE-41F2-BAA6-8268FA868CBA","96091A9A-D656-40C1-8E13-D0D52AB23A5F",23615,1,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7,6,7,7,6,5,6,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2017-09-05 16:23:14,NA,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-09-05 16:23:14,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-09-05 16:24:22
"002848E6-884E-4CC0-BC7E-ADA4FC4F0BD3","5AAD95C6-10CA-4D01-9E8C-5F5543824112",28606,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2011-09-07 16:20:35,NA,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 16:20:35,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 16:21:52
"002FE7F0-24B2-4A7F-8FB4-CFC8F295CA55","AC4CF7BF-EAF7-485F-BBDA-F35A57AD63C2",39357,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,2,1,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2010-09-28 14:09:25,NA,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-28 14:09:25,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-28 14:12:01
"0033A05B-966F-44EC-B4BD-79ACA66B6532","8C36CB7B-F007-4B18-B6A0-7EEB47DF97FA",43342,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2011-09-09 11:14:00,NA,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-09 11:14:00,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-09 11:14:33
"004415C8-4A9D-481C-B3D1-7B60AA10F287","1993D8B1-0CA5-402A-B33B-DBB4FFFBDFFA",28606,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2012-07-05 09:58:56,NA,2012-07-05 09:58:56
"004E7FE1-7C1F-4A01-A1BB-FFDE91A601AF","3827D738-BBA3-4E7A-A6E5-6A0249F3A5BB",23615,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,0,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2019-07-17 13:37:29,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-07-17 13:37:29,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-07-17 14:34:48
