"Event_ID","Stand_Structure_ID","Crown_Closure_ID","Water_Plot","Deer_Browse_Line_ID","Deer_Browse_Line_pre09_ID","Microtopography_ID","Groundstory_Cover_Class_ID","Mid_Understory_Cover_Class_ID","High_Understory_Cover_Class_ID","Lichen_Cover_Class_ID","Non_Vascular_Cover_Class_ID","Forest_Floor_Bare_Soil_Cover_Class_ID","Forest_Floor_Rock_Cover_Class_ID","Forest_Floor_Water_Cover_Class_ID","Forest_Floor_Trampled_Cover_Class_ID","Photographer","Camera_Serial_Number","Photo_Notes","Distance","Angle_up","Angle_down","Tree_1_Number_Codom","Tree_2_Number_Codom","Tree_3_Number_Codom","Tree_1_Number_Inter","Tree_2_Number_Inter","Tree_3_Number_Inter","Height_Tree_1_Codom","Height_Tree_2_Codom","Height_Tree_3_Codom","Height_Tree_1_Inter","Height_Tree_2_Inter","Height_Tree_3_Inter","Stunted_Woodland","Photo_Taken_Plot","Photo_Taken_Microplot","Photo_Taken_ID","Weather","Slope_UC","Slope_BC","Derived_Plot_Slope","Slope_UP","Slope_BR","Slope_BL","Notes","Created_By","Created_Date","Updated_By","Updated_Date"
"00635A35-7E12-4177-8D6C-7A1B6D79EB52",3,5,0,4,NA,1,4,4,4,1,2,1,2,1,1,"{853A83BE-2193-4055-BD77-A71925D3FBE0}","6826065211",NA,NA,NA,NA,6409,15914,NA,6408,13462,NA,27,24.7000007629395,NA,22.3999996185303,19,NA,FALSE,TRUE,TRUE,TRUE,"sun",6.80000019073486,-14.8000001907349,10.8000001907349,5.59999990463257,-9,-10.6000003814697,NA,"{853A83BE-2193-4055-BD77-A71925D3FBE0}",2017-07-24 14:47:49,"{853A83BE-2193-4055-BD77-A71925D3FBE0}",2017-07-24 16:36:03
"00A5A081-AB93-41E8-AC7A-B35D678CC32A",3,4,0,3,NA,1,2,2,4,1,1,1,1,1,1,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",NA,NA,20,62,-6,NA,NA,NA,NA,NA,NA,32.0999984741211,30.2999992370605,39.7000007629395,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"sun",4.09999990463257,-9,6.55000019073486,3.29999995231628,0.100000001490116,-5.59999990463257,NA,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-24 12:29:30,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2010-09-24 12:31:38
"00C5CF7D-EE85-4994-8DC7-8DDDFDE84B9F",3,3,0,4,NA,1,4,3,4,1,1,1,1,1,1,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",NA,NA,16.1299991607666,56,-9,1991,1990,1985,NA,NA,NA,28.8999996185303,27.8999996185303,26.5,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"sun",3.40000009536743,-3.59999990463257,3.5,2.59999990463257,-4.69999980926514,1.39999997615814,NA,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 15:01:57,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",2011-09-07 15:04:58
"00D65E80-2BAF-417E-A7DE-E96C9FC2FE50",3,3,0,5,NA,1,2,3,3,1,1,1,1,1,1,"{FAFE6C5C-1246-4540-ACCD-D7F2CE7D1E3B}",NA,NA,17.7999992370605,56,-7,14447,14443,14450,NA,NA,NA,25,24,28.6000003814697,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"clouds",NA,NA,NA,NA,NA,NA,"DEER EXCLOSURE PLOT","{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-26 17:09:54,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-29 10:10:59
"00DDD96E-953D-419C-A78D-3A9AC9E948DF",3,5,0,5,NA,1,6,2,3,1,1,1,1,1,1,"{774B2387-747E-4420-9020-69A2F8F0D4E9}","6826065211",NA,NA,NA,NA,3005,3014,12928,3002,3011,3020,20.7000007629395,22.3999996185303,24,15.8000001907349,18.7000007629395,18.5,FALSE,TRUE,TRUE,TRUE,"clouds",10.3999996185303,-10.1000003814697,10.25,9.80000019073486,-9.39999961853027,-6.90000009536743,"found 3 different orchids in plot!","{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2016-08-09 08:41:56,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2016-08-09 12:20:53
"01B1E0AF-B69D-4D19-9ABF-72F68C8DE3C1",3,5,0,4,NA,1,5,3,4,1,1,1,1,1,1,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}","2728103134",NA,18.0499992370605,52,-8,4543,13326,4547,NA,NA,NA,28.2999992370605,28.2000007629395,25.6000003814697,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"sun",3.5,-5.30000019073486,4.40000009536743,3.79999995231628,-4.09999990463257,-3.90000009536743,NA,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-29 12:36:13,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-29 14:25:35
"01D6DF0A-3B3E-4EC7-B829-27C05E7E2D3C",3,4,0,3,NA,1,3,3,4,1,1,1,1,1,1,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",NA,NA,18.6000003814697,50,-6,2174,2176,2217,NA,NA,NA,25.2999992370605,36.9000015258789,24.1000003814697,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"sun",-2.09999990463257,2.70000004768372,2.40000009536743,-3.29999995231628,3.90000009536743,0.200000002980232,NA,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-07 13:16:59,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-07 16:03:03
"023B07B0-BF6C-4A18-A698-CADD1F748AE2",3,4,0,3,NA,0,6,5,4,1,1,1,1,1,1,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",NA,NA,18.7000007629395,52,-7,1272,1276,NA,NA,NA,NA,24.2999992370605,26.2000007629395,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"rain",-2,2.79999995231628,2.40000009536743,-1.89999997615814,-1,6.5,"Only 2 codominant trees.","{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2011-08-04 18:14:29,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2011-08-04 18:23:36
"02A20A66-7832-4957-B4D4-A43CC07905AB",3,5,0,3,NA,1,4,4,4,1,1,1,1,1,1,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}","6826065211",NA,NA,NA,NA,15235,8785,NA,8782,8783,15220,23.2999992370605,28.3999996185303,NA,21,21.2999992370605,19.8999996185303,FALSE,TRUE,TRUE,TRUE,"fog",2.70000004768372,-4.90000009536743,3.80000019073486,3.09999990463257,-2.5,-4,NA,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-20 08:58:32,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-20 11:39:52
"0359CB14-912E-4110-9740-349A10355C46",3,5,0,5,NA,1,3,2,3,1,1,1,1,1,1,"{2AA4EFF4-A80F-4408-8AF3-E3F11968C2A1}","6826065211",NA,NA,NA,NA,13663,13665,15964,6337,13669,13668,42,37.7000007629395,35.2999992370605,25.3999996185303,25.2999992370605,29.2999992370605,FALSE,TRUE,TRUE,TRUE,"clouds",11.5,-16.2999992370605,13.8999996185303,12.8999996185303,-11,-8.69999980926514,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2017-08-01 08:42:34,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2017-08-01 11:09:13
